city,temperature,humidity,pressure,weather,wind_speed,clouds,country,latitude,longitude
Berlin,5.83,83,1022,Clouds,1.54,100,DE,52.5244,13.4105
Paris,11.45,89,1018,Clear,2.57,0,FR,48.8534,2.3488
London,11.11,84,1016,Clouds,1.03,13,GB,51.5085,-0.1257
Rome,10.53,30,1018,Clear,4.12,0,US,34.257,-85.1647
Madrid,12.38,47,1018,Clear,1.03,0,ES,40.4165,-3.7026
Amsterdam,11.33,90,1019,Clouds,3.13,75,NL,52.374,4.8897
Vienna,7.12,83,1023,Clouds,3.6,20,AT,48.2085,16.3721
Prague,4.04,86,1023,Clear,0.51,0,CZ,50.088,14.4208
Warsaw,1.75,85,1019,Clouds,3.6,75,PL,52.2298,21.0118
Budapest,6.99,75,1020,Clear,5.66,0,HU,47.498,19.0399
Lisbon,14.34,87,1015,Clouds,5.14,20,PT,38.7167,-9.1333
Dublin,21.29,52,1017,Clear,6.17,0,US,37.7021,-121.9358
Athens,14.3,72,1015,Clouds,3.13,100,GR,37.9795,23.7162
Copenhagen,-0.28,94,1022,Clouds,4.12,75,DK,55.6759,12.5655
Oslo,-1.91,87,1023,Clouds,1.37,100,NO,59.9127,10.7461
Stockholm,-3.14,93,1022,Clouds,3.6,75,SE,59.3326,18.0649
Helsinki,-6.65,82,1020,Clear,3.6,0,FI,60.1695,24.9355
Brussels,12.17,90,1019,Clouds,2.06,75,BE,50.8504,4.3488
Zurich,9.71,87,1022,Clear,2.24,0,CH,47.3667,8.55
Munich,6.7,95,1023,Clouds,1.08,100,DE,48.1374,11.5755
Hamburg,4.91,97,1021,Mist,1.54,0,DE,53.55,10.0
Frankfurt,10.3,91,1022,Clouds,0.51,75,DE,50.1167,8.6833
Cologne,11.08,93,1021,Clouds,2.06,75,DE,50.9333,6.95
Stuttgart,10.14,96,1023,Mist,1.03,100,DE,48.7823,9.177
Dusseldorf,11.17,94,1021,Clouds,3.6,100,DE,51.2217,6.7762
Barcelona,13.64,80,1018,Clear,1.54,0,ES,41.3888,2.159
Valencia,15.3,37,1018,Clouds,1.62,13,ES,39.3333,-0.8333
Seville,16.54,73,1018,Clear,2.06,0,ES,37.3824,-5.9761
Milan,9.05,85,1021,Clouds,2.57,20,IT,45.4643,9.1895
Naples,13.54,47,1021,Clouds,0.51,40,IT,40.8333,14.25
Turin,6.64,80,1020,Clouds,1.48,28,IT,45.1333,7.3667
Florence,10.48,74,1020,Clouds,2.06,20,IT,43.7667,11.25
Venice,13.54,51,1023,Clear,2.68,0,US,27.0998,-82.4543
Bologna,11.17,90,1021,Mist,2.57,75,IT,44.4667,11.4333
Genoa,13.83,78,1020,Clouds,2.06,75,IT,44.4129,8.9573
Marseille,9.85,83,1019,Clouds,1.28,100,FR,43.3333,5.5
Lyon,7.77,91,1019,Clouds,0.33,14,FR,45.75,4.5833
Toulouse,13.99,72,1016,Clouds,2.57,20,FR,43.6043,1.4437
Nice,3.75,69,1019,Clouds,2.16,30,FR,44.0,7.25
Nantes,12.96,82,1015,Clear,1.54,0,FR,47.1667,-1.5833
Strasbourg,9.37,93,1022,Clear,1.89,6,FR,48.5834,7.743
Lille,12.05,89,1018,Clouds,4.12,100,FR,50.633,3.0586
Montpellier,11.39,84,1018,Clear,1.54,0,FR,43.6109,3.8772
Bordeaux,14.15,77,1015,Clear,2.57,0,FR,44.8404,-0.5805
Rennes,13.69,83,1015,Clear,10.28,0,FR,48.1667,-1.6667
